,Code,Filename,Real_flag
403,00U,20180819_051454.avi,0.0
404,00V,20180819_051500.avi,0.0
405,00W,20180819_051537.avi,0.0
406,00X,20180819_051540.avi,0.0
407,00Y,20180819_051545.avi,0.0
408,00Z,20180819_051554.avi,0.0
409,010,20180819_051726.avi,0.0
410,011,20180819_051729.avi,0.0
411,012,20180819_051735.avi,0.0
412,013,20180819_051808.avi,0.0
413,014,20180819_051819.avi,0.0
414,015,20180819_051830.avi,0.0
415,016,20180819_051836.avi,0.0
416,017,20180819_051840.avi,0.0
417,018,20180819_051914.avi,0.0
418,019,20180819_052355.avi,0.0
419,01A,20180819_052402.avi,0.0
420,01B,20180819_052408.avi,0.0
421,01C,20180819_052414.avi,0.0
422,01D,20180819_052421.avi,0.0
423,01E,20180819_053116.avi,0.0
424,01F,20180819_053126.avi,0.0
425,01G,20180819_053131.avi,0.0
426,01H,20180819_053136.avi,0.0
427,01I,20180819_053143.avi,0.0
428,01J,20180819_053149.avi,0.0
429,01K,20180819_053156.avi,0.0
430,01L,20180819_053202.avi,0.0
431,01M,20180819_053211.avi,0.0
432,01N,20180819_053216.avi,0.0
433,01O,20180819_053301.avi,0.0
434,01P,20180819_053305.avi,0.0
435,01Q,20180819_053310.avi,0.0
436,01R,20180819_053315.avi,0.0
437,01S,20180819_053328.avi,0.0
438,01T,20180819_053333.avi,0.0
439,01U,20180819_053347.avi,0.0
440,01V,20180819_053350.avi,0.0
441,01W,20180819_053400.avi,0.0
442,01X,20180819_053407.avi,0.0
443,01Y,20180819_053412.avi,0.0
444,01Z,20180819_053423.avi,0.0
445,020,20180819_053432.avi,0.0
446,021,20180819_053437.avi,0.0
447,022,20180819_053448.avi,0.0
448,023,20180819_053454.avi,0.0
449,024,20180819_053507.avi,0.0
450,025,20180819_053517.avi,0.0
451,026,20180819_053529.avi,0.0
452,027,20180819_053534.avi,0.0
453,028,20180819_053544.avi,0.0
454,029,20180819_053550.avi,0.0
455,02A,20180819_053555.avi,0.0
456,02B,20180819_053600.avi,0.0
457,02C,20180819_053619.avi,0.0
458,02D,20180819_053627.avi,0.0
459,02E,20180819_053631.avi,0.0
460,02F,20180819_053646.avi,0.0
461,02G,20180819_053706.avi,0.0
462,02H,20180819_053715.avi,0.0
463,02I,20180819_053724.avi,0.0
464,02J,20180819_053730.avi,0.0
465,02K,20180819_053735.avi,0.0
466,02L,20180819_053740.avi,0.0
467,02M,20180819_053750.avi,0.0
468,02N,20180819_053756.avi,0.0
469,02O,20180819_053800.avi,0.0
470,02P,20180819_053903.avi,0.0
471,02Q,20180819_053921.avi,0.0
472,02R,20180819_053931.avi,0.0
473,02S,20180819_054041.avi,0.0
474,02T,20180819_054144.avi,0.0
475,02U,20180819_054152.avi,0.0
476,02V,20180819_054221.avi,0.0
477,02W,20180819_054232.avi,0.0
478,02X,20180819_054352.avi,0.0
